,org:alternate_names,org:city_of_headquarters,org:country_of_headquarters,org:founded,org:founded_by,org:member_of,org:members,org:parents,org:political/religious_affiliation,org:stateorprovince_of_headquarters,org:subsidiaries,org:top_members/employees,org:website,per:age,per:alternate_names,per:cause_of_death,per:children,per:cities_of_residence,per:city_of_death,per:countries_of_residence,per:date_of_death,per:employee_of,per:origin,per:other_family,per:parents,per:schools_attended,per:siblings,per:spouse,per:stateorprovinces_of_residence,per:title
org:website,0.06801007556675064,0.025839793281653745,0.05604719764011799,0.0,0.059490084985835696,0.01644736842105263,0.06528189910979229,0.026392961876832845,0.051829268292682924,0.04199475065616798,0.05688622754491018,0.034013605442176874,1.0,0.03140096618357488,0.0,0.0,0.03508771929824561,0.02284263959390863,0.016,0.01634877384196185,0.012987012987012988,0.01699029126213592,0.034031413612565446,0.06109324758842444,0.03333333333333333,0.0,0.03582089552238806,0.04145077720207254,0.033942558746736295,0.037383177570093455
per:age,0.24484536082474226,0.058004640371229696,0.08031088082901554,0.040865384615384616,0.050970873786407765,0.06666666666666667,0.045,0.04871794871794872,0.11911357340720222,0.09615384615384616,0.06459948320413436,0.017786561264822136,0.03140096618357488,1.0,0.040380047505938245,0.05115089514066496,0.019753086419753086,0.08705882352941176,0.02564102564102564,0.125,0.097799511002445,0.12735849056603774,0.14646464646464646,0.03183023872679045,0.01411764705882353,0.016018306636155607,0.015,0.05491990846681922,0.14898989898989898,0.1431818181818182
per:alternate_names,0.07673267326732673,0.1270718232044199,0.07580174927113703,0.0,0.12903225806451613,0.07023411371237458,0.04225352112676056,0.128125,0.025936599423631124,0.10569105691056911,0.07374631268436578,0.05656108597285068,0.0,0.040380047505938245,1.0,0.08035714285714286,0.07352941176470588,0.22485207100591717,0.12320916905444126,0.119533527696793,0.017766497461928935,0.1111111111111111,0.0855614973262032,0.09294871794871795,0.049315068493150684,0.17507418397626112,0.0718562874251497,0.2005813953488372,0.12430939226519337,0.1636828644501279
per:cause_of_death,0.014925373134328358,0.07932011331444759,0.052307692307692305,0.0,0.08814589665653495,0.12692307692307692,0.05864197530864197,0.06369426751592357,0.044444444444444446,0.06722689075630252,0.059748427672955975,0.011494252873563218,0.0,0.05115089514066496,0.08035714285714286,1.0,0.05956112852664577,0.17272727272727273,0.2807017543859649,0.14057507987220447,0.0,0.12885154061624648,0.1347305389221557,0.036303630363036306,0.03488372093023256,0.24662162162162163,0.0924092409240924,0.06629834254143646,0.12094395280235988,0.11458333333333333
per:children,0.05670103092783505,0.08806818181818182,0.05521472392638037,0.0,0.10091743119266056,0.03508771929824561,0.12012987012987013,0.12374581939799331,0.012232415902140673,0.03513513513513514,0.1936619718309859,0.1189873417721519,0.03508771929824561,0.019753086419753086,0.07352941176470588,0.05956112852664577,1.0,0.11142857142857143,0.07624633431085044,0.10122699386503067,0.021739130434782608,0.09164420485175202,0.058333333333333334,0.2248062015503876,0.22602739726027396,0.07536231884057971,0.2518796992481203,0.2847682119205298,0.07909604519774012,0.11398963730569948
per:cities_of_residence,0.0625,0.1771117166212534,0.20552147239263804,0.0,0.11748633879781421,0.1986062717770035,0.05630026809651475,0.15963855421686746,0.07344632768361582,0.16756756756756758,0.11494252873563218,0.04246284501061571,0.02284263959390863,0.08705882352941176,0.22485207100591717,0.17272727272727273,0.11142857142857143,1.0,0.2682926829268293,0.3783783783783784,0.009501187648456057,0.31976744186046513,0.21468926553672316,0.1196319018404908,0.06266318537859007,0.2804878048780488,0.12352941176470589,0.17473118279569894,0.35962145110410093,0.2345360824742268
per:city_of_death,0.04295942720763723,0.09919571045576407,0.11077844311377245,0.0,0.09631728045325778,0.14590747330960854,0.024793388429752067,0.14150943396226415,0.05917159763313609,0.1111111111111111,0.06705539358600583,0.01956521739130435,0.016,0.02564102564102564,0.12320916905444126,0.2807017543859649,0.07624633431085044,0.2682926829268293,1.0,0.18404907975460122,0.0,0.152,0.10569105691056911,0.06191950464396285,0.032171581769437,0.14697406340057637,0.11455108359133127,0.06958762886597938,0.16524216524216523,0.11192214111922141
per:countries_of_residence,0.06982543640897755,0.1518624641833811,0.22635135135135134,0.0,0.12462908011869436,0.18490566037735848,0.02824858757062147,0.16393442622950818,0.19047619047619047,0.18235294117647058,0.10493827160493827,0.026726057906458798,0.01634877384196185,0.125,0.119533527696793,0.14057507987220447,0.10122699386503067,0.3783783783783784,0.18404907975460122,1.0,0.0025380710659898475,0.47735191637630664,0.3377926421404682,0.12040133779264214,0.11209439528023599,0.1111111111111111,0.11041009463722397,0.10298102981029811,0.43214285714285716,0.268361581920904
per:date_of_death,0.020594965675057208,0.01699029126213592,0.0,0.18562874251497005,0.0,0.021604938271604937,0.026954177897574125,0.02197802197802198,0.0,0.019464720194647202,0.013513513513513514,0.02575107296137339,0.012987012987012988,0.097799511002445,0.017766497461928935,0.0,0.021739130434782608,0.009501187648456057,0.0,0.0025380710659898475,1.0,0.004555808656036446,0.0,0.011494252873563218,0.03412073490813648,0.009925558312655087,0.027855153203342618,0.026634382566585957,0.0,0.019693654266958426
per:employee_of,0.08447488584474885,0.1341772151898734,0.21005917159763313,0.0,0.1038961038961039,0.17647058823529413,0.03015075376884422,0.15229885057471265,0.21100917431192662,0.16363636363636364,0.13165266106442577,0.04536082474226804,0.01699029126213592,0.12735849056603774,0.1111111111111111,0.12885154061624648,0.09164420485175202,0.31976744186046513,0.152,0.47735191637630664,0.004555808656036446,1.0,0.36809815950920244,0.12389380530973451,0.10443864229765012,0.15343915343915343,0.10249307479224377,0.1048780487804878,0.41904761904761906,0.2627551020408163
per:origin,0.09466019417475728,0.09278350515463918,0.14583333333333334,0.0,0.09562841530054644,0.12751677852348994,0.021164021164021163,0.1023391812865497,0.27835051546391754,0.13672922252010725,0.10787172011661808,0.027659574468085105,0.034031413612565446,0.14646464646464646,0.0855614973262032,0.1347305389221557,0.058333333333333334,0.21468926553672316,0.10569105691056911,0.3377926421404682,0.0,0.36809815950920244,1.0,0.09174311926605505,0.064,0.11351351351351352,0.0625,0.07788944723618091,0.3177570093457944,0.2394736842105263
per:other_family,0.09659090909090909,0.10461538461538461,0.11888111888111888,0.0,0.1872791519434629,0.038314176245210725,0.10689655172413794,0.16417910447761194,0.013201320132013201,0.0748502994011976,0.22093023255813954,0.1358695652173913,0.06109324758842444,0.03183023872679045,0.09294871794871795,0.036303630363036306,0.2248062015503876,0.1196319018404908,0.06191950464396285,0.12040133779264214,0.011494252873563218,0.12389380530973451,0.09174311926605505,1.0,0.23247232472324722,0.045180722891566265,0.32051282051282054,0.29537366548042704,0.10493827160493827,0.11232876712328767
per:parents,0.0594059405940594,0.08086253369272237,0.08383233532934131,0.0,0.1317365269461078,0.061016949152542375,0.1308411214953271,0.109717868338558,0.011594202898550725,0.07219251336898395,0.21428571428571427,0.13861386138613863,0.03333333333333333,0.01411764705882353,0.049315068493150684,0.03488372093023256,0.22602739726027396,0.06266318537859007,0.032171581769437,0.11209439528023599,0.03412073490813648,0.10443864229765012,0.064,0.23247232472324722,1.0,0.03183023872679045,0.2491103202846975,0.20833333333333334,0.06951871657754011,0.09268292682926829
per:schools_attended,0.011467889908256881,0.08093994778067885,0.059322033898305086,0.0,0.03439153439153439,0.07236842105263158,0.010752688172043012,0.05157593123209169,0.025495750708215296,0.050761421319796954,0.04519774011299435,0.017204301075268817,0.0,0.016018306636155607,0.17507418397626112,0.24662162162162163,0.07536231884057971,0.2804878048780488,0.14697406340057637,0.1111111111111111,0.009925558312655087,0.15343915343915343,0.11351351351351352,0.045180722891566265,0.03183023872679045,1.0,0.06432748538011696,0.09114583333333333,0.1601123595505618,0.11352657004830918
per:siblings,0.049479166666666664,0.08357348703170028,0.07667731629392971,0.0,0.2089041095890411,0.051094890510948905,0.16551724137931034,0.1708185053380783,0.0,0.059154929577464786,0.20727272727272728,0.11825192802056556,0.03582089552238806,0.015,0.0718562874251497,0.0924092409240924,0.2518796992481203,0.12352941176470589,0.11455108359133127,0.11041009463722397,0.027855153203342618,0.10249307479224377,0.0625,0.32051282051282054,0.2491103202846975,0.06432748538011696,1.0,0.31833910034602075,0.08069164265129683,0.0987012987012987
per:spouse,0.09569377990430622,0.14933333333333335,0.08287292817679558,0.0,0.17579250720461095,0.0425531914893617,0.16272189349112426,0.19254658385093168,0.0215633423180593,0.06947890818858561,0.2364217252396166,0.1864406779661017,0.04145077720207254,0.05491990846681922,0.2005813953488372,0.06629834254143646,0.2847682119205298,0.17473118279569894,0.06958762886597938,0.10298102981029811,0.026634382566585957,0.1048780487804878,0.07788944723618091,0.29537366548042704,0.20833333333333334,0.09114583333333333,0.31833910034602075,1.0,0.08585858585858586,0.16585365853658537
per:stateorprovinces_of_residence,0.09178743961352658,0.17079889807162535,0.2953020134228188,0.0,0.11977715877437325,0.17832167832167833,0.023809523809523808,0.14545454545454545,0.16927899686520376,0.19718309859154928,0.11403508771929824,0.025423728813559324,0.033942558746736295,0.14898989898989898,0.12430939226519337,0.12094395280235988,0.07909604519774012,0.35962145110410093,0.16524216524216523,0.43214285714285716,0.0,0.41904761904761906,0.3177570093457944,0.10493827160493827,0.06951871657754011,0.1601123595505618,0.08069164265129683,0.08585858585858586,1.0,0.3371104815864023
per:title,0.16009280742459397,0.1825,0.2579710144927536,0.0,0.14795918367346939,0.12244897959183673,0.03571428571428571,0.15135135135135136,0.13172043010752688,0.15647921760391198,0.12598425196850394,0.06187624750499002,0.037383177570093455,0.1431818181818182,0.1636828644501279,0.11458333333333333,0.11398963730569948,0.2345360824742268,0.11192214111922141,0.268361581920904,0.019693654266958426,0.2627551020408163,0.2394736842105263,0.11232876712328767,0.09268292682926829,0.11352657004830918,0.0987012987012987,0.16585365853658537,0.3371104815864023,1.0
