tac_doc_id,tac_sentence_id,sentence,indexed_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
NYT_ENG_20090613.0095,098f60af8fb7e48c4b31,"The student, Amanda Knox , 21, of Seattle; her boyfriend at the time, Raffaele Sollecito , 25; and a second man are accused of the murder of Meredith Kercher , 21, of Surrey, England.","[(0, 'The'), (1, 'student'), (2, ','), (3, 'Amanda'), (4, 'Knox'), (5, ','), (6, '21'), (7, ','), (8, 'of'), (9, 'Seattle'), (10, ';'), (11, 'her'), (12, 'boyfriend'), (13, 'at'), (14, 'the'), (15, 'time'), (16, ','), (17, 'Raffaele'), (18, 'Sollecito'), (19, ','), (20, '25'), (21, ';'), (22, 'and'), (23, 'a'), (24, 'second'), (25, 'man'), (26, 'are'), (27, 'accused'), (28, 'of'), (29, 'the'), (30, 'murder'), (31, 'of'), (32, 'Meredith'), (33, 'Kercher'), (34, ','), (35, '21'), (36, ','), (37, 'of'), (38, 'Surrey'), (39, ','), (40, 'England'), (41, '.')]",3,4,9,9,,,,,
APW_ENG_20091207.0993,098f60af8f47ab0692f9,Connecticut State's Attorney David Cohen said Monday that there is no evidence that Sandra Herold of Stamford was aware of risk that her chimpanzee posed to other people and disregarded it.,"[(0, 'Connecticut'), (1, 'State'), (2, ""'s""), (3, 'Attorney'), (4, 'David'), (5, 'Cohen'), (6, 'said'), (7, 'Monday'), (8, 'that'), (9, 'there'), (10, 'is'), (11, 'no'), (12, 'evidence'), (13, 'that'), (14, 'Sandra'), (15, 'Herold'), (16, 'of'), (17, 'Stamford'), (18, 'was'), (19, 'aware'), (20, 'of'), (21, 'risk'), (22, 'that'), (23, 'her'), (24, 'chimpanzee'), (25, 'posed'), (26, 'to'), (27, 'other'), (28, 'people'), (29, 'and'), (30, 'disregarded'), (31, 'it'), (32, '.')]",14,15,17,17,,,,,
APW_ENG_20070926.0270.LDC2009T13,098f60af8f82d27818f4,"Lomax recalls when, at age 13, his mother moved him and his five brothers and sisters from Los Angeles, California, to Tuskegee, Alabama, to cover the civil rights movement for Nation magazine.","[(0, 'Lomax'), (1, 'recalls'), (2, 'when'), (3, ','), (4, 'at'), (5, 'age'), (6, '13'), (7, ','), (8, 'his'), (9, 'mother'), (10, 'moved'), (11, 'him'), (12, 'and'), (13, 'his'), (14, 'five'), (15, 'brothers'), (16, 'and'), (17, 'sisters'), (18, 'from'), (19, 'Los'), (20, 'Angeles'), (21, ','), (22, 'California'), (23, ','), (24, 'to'), (25, 'Tuskegee'), (26, ','), (27, 'Alabama'), (28, ','), (29, 'to'), (30, 'cover'), (31, 'the'), (32, 'civil'), (33, 'rights'), (34, 'movement'), (35, 'for'), (36, 'Nation'), (37, 'magazine'), (38, '.')]",11,11,19,20,,,,,
XIN_ENG_20091103.0364,098f60af8fd50db00e26,"Xie was the sister-in-law of Wen Qiang, formerly the second in command of the Chongqing police and director of the justice bureau before he was arrested.","[(0, 'Xie'), (1, 'was'), (2, 'the'), (3, 'sister-in-law'), (4, 'of'), (5, 'Wen'), (6, 'Qiang'), (7, ','), (8, 'formerly'), (9, 'the'), (10, 'second'), (11, 'in'), (12, 'command'), (13, 'of'), (14, 'the'), (15, 'Chongqing'), (16, 'police'), (17, 'and'), (18, 'director'), (19, 'of'), (20, 'the'), (21, 'justice'), (22, 'bureau'), (23, 'before'), (24, 'he'), (25, 'was'), (26, 'arrested'), (27, '.')]",5,6,15,15,,,,,
AFP_ENG_20100202.0622,098f60af8f9bacda0872,"Wen Qiang, former director of the justice department in the giant city of Chongqing, stands accused of accepting bribes, protecting mafia rings and four counts of rape, a court statement said.","[(0, 'Wen'), (1, 'Qiang'), (2, ','), (3, 'former'), (4, 'director'), (5, 'of'), (6, 'the'), (7, 'justice'), (8, 'department'), (9, 'in'), (10, 'the'), (11, 'giant'), (12, 'city'), (13, 'of'), (14, 'Chongqing'), (15, ','), (16, 'stands'), (17, 'accused'), (18, 'of'), (19, 'accepting'), (20, 'bribes'), (21, ','), (22, 'protecting'), (23, 'mafia'), (24, 'rings'), (25, 'and'), (26, 'four'), (27, 'counts'), (28, 'of'), (29, 'rape'), (30, ','), (31, 'a'), (32, 'court'), (33, 'statement'), (34, 'said'), (35, '.')]",0,1,14,14,,,,,
AFP_ENG_20100414.0552,098f60af8f70c58375c7,"The verdict against Wen Qiang, the former head of Chongqing's judiciary and an ex-deputy police chief, brought to a climax a series of trials that lifted the lid on the seamy underworld in the mega-city of more than 30 million.","[(0, 'The'), (1, 'verdict'), (2, 'against'), (3, 'Wen'), (4, 'Qiang'), (5, ','), (6, 'the'), (7, 'former'), (8, 'head'), (9, 'of'), (10, 'Chongqing'), (11, ""'s""), (12, 'judiciary'), (13, 'and'), (14, 'an'), (15, 'ex-deputy'), (16, 'police'), (17, 'chief'), (18, ','), (19, 'brought'), (20, 'to'), (21, 'a'), (22, 'climax'), (23, 'a'), (24, 'series'), (25, 'of'), (26, 'trials'), (27, 'that'), (28, 'lifted'), (29, 'the'), (30, 'lid'), (31, 'on'), (32, 'the'), (33, 'seamy'), (34, 'underworld'), (35, 'in'), (36, 'the'), (37, 'mega-city'), (38, 'of'), (39, 'more'), (40, 'than'), (41, '30'), (42, 'million'), (43, '.')]",3,4,10,10,,,,,
APW_ENG_20090831.0585,098f60af8f61529d5237,Pastor' s son: Mom' s funeral is time for God' s word Services for 61-year-old Carol Daniels will be Monday at 1 pm local time in Oklahoma City.,"[(0, 'Pastor'), (1, ""'""), (2, 's'), (3, 'son'), (4, ':'), (5, 'Mom'), (6, ""'""), (7, 's'), (8, 'funeral'), (9, 'is'), (10, 'time'), (11, 'for'), (12, 'God'), (13, ""'""), (14, 's'), (15, 'word'), (16, 'Services'), (17, 'for'), (18, '61-year-old'), (19, 'Carol'), (20, 'Daniels'), (21, 'will'), (22, 'be'), (23, 'Monday'), (24, 'at'), (25, '1'), (26, 'pm'), (27, 'local'), (28, 'time'), (29, 'in'), (30, 'Oklahoma'), (31, 'City'), (32, '.')]",19,20,30,31,,,,,
APW_ENG_20090624.0461,098f60af8f505e88038d,"Esther-Ethy Mamane, of Paris, told the New York Post that she and her fellow passengers ""screamed and prayed.""","[(0, 'Esther-Ethy'), (1, 'Mamane'), (2, ','), (3, 'of'), (4, 'Paris'), (5, ','), (6, 'told'), (7, 'the'), (8, 'New'), (9, 'York'), (10, 'Post'), (11, 'that'), (12, 'she'), (13, 'and'), (14, 'her'), (15, 'fellow'), (16, 'passengers'), (17, '``'), (18, 'screamed'), (19, 'and'), (20, 'prayed'), (21, '.'), (22, ""''"")]",0,1,4,4,,,,,
APW_ENG_20101105.0669,098f60af8fe1170c5866,Gonzalez was attorney general during the most violent peacetime period in the history of Chihuahua state.,"[(0, 'Gonzalez'), (1, 'was'), (2, 'attorney'), (3, 'general'), (4, 'during'), (5, 'the'), (6, 'most'), (7, 'violent'), (8, 'peacetime'), (9, 'period'), (10, 'in'), (11, 'the'), (12, 'history'), (13, 'of'), (14, 'Chihuahua'), (15, 'state'), (16, '.')]",0,0,14,14,,,,,
AFP_ENG_20101230.0067,098f60af8f62a60db9ee,"Supporters like Ble Goude have branded the Golf Hotel a rebel base, and both FDS troops and civilian protesters have begun to harass UN patrols in Abidjan, which is still firmly under the control of Gbagbo's forces.","[(0, 'Supporters'), (1, 'like'), (2, 'Ble'), (3, 'Goude'), (4, 'have'), (5, 'branded'), (6, 'the'), (7, 'Golf'), (8, 'Hotel'), (9, 'a'), (10, 'rebel'), (11, 'base'), (12, ','), (13, 'and'), (14, 'both'), (15, 'FDS'), (16, 'troops'), (17, 'and'), (18, 'civilian'), (19, 'protesters'), (20, 'have'), (21, 'begun'), (22, 'to'), (23, 'harass'), (24, 'UN'), (25, 'patrols'), (26, 'in'), (27, 'Abidjan'), (28, ','), (29, 'which'), (30, 'is'), (31, 'still'), (32, 'firmly'), (33, 'under'), (34, 'the'), (35, 'control'), (36, 'of'), (37, 'Gbagbo'), (38, ""'s""), (39, 'forces'), (40, '.')]",2,3,27,27,,,,,
NYT_ENG_20081128.0124.LDC2009T13,098f60af8f369b2ee8fe,"It began in October 2003, at a bar on the Upper East Side of Manhattan, where Mark Fisher, a 19-year old sophomore at Fairfield University, was drinking with friends.","[(0, 'It'), (1, 'began'), (2, 'in'), (3, 'October'), (4, '2003'), (5, ','), (6, 'at'), (7, 'a'), (8, 'bar'), (9, 'on'), (10, 'the'), (11, 'Upper'), (12, 'East'), (13, 'Side'), (14, 'of'), (15, 'Manhattan'), (16, ','), (17, 'where'), (18, 'Mark'), (19, 'Fisher'), (20, ','), (21, 'a'), (22, '19-year'), (23, 'old'), (24, 'sophomore'), (25, 'at'), (26, 'Fairfield'), (27, 'University'), (28, ','), (29, 'was'), (30, 'drinking'), (31, 'with'), (32, 'friends'), (33, '.')]",18,19,11,15,,,,,
XIN_ENG_20091110.0411,098f60af8f3f4d50fe47,"Wen Qiang, former deputy director of Chongqing's public security department, was found to have shielded criminal gangs and committed other crimes while holding his post.","[(0, 'Wen'), (1, 'Qiang'), (2, ','), (3, 'former'), (4, 'deputy'), (5, 'director'), (6, 'of'), (7, 'Chongqing'), (8, ""'s""), (9, 'public'), (10, 'security'), (11, 'department'), (12, ','), (13, 'was'), (14, 'found'), (15, 'to'), (16, 'have'), (17, 'shielded'), (18, 'criminal'), (19, 'gangs'), (20, 'and'), (21, 'committed'), (22, 'other'), (23, 'crimes'), (24, 'while'), (25, 'holding'), (26, 'his'), (27, 'post'), (28, '.')]",0,1,7,7,,,,,
XIN_ENG_20100513.0438,098f60af8fe9cbb24e27,"The lower court also delivered verdicts on Huang Daiqiang, Zhao Liming and Chen Tao, the three former Chongqing police officers, in the same trial.","[(0, 'The'), (1, 'lower'), (2, 'court'), (3, 'also'), (4, 'delivered'), (5, 'verdicts'), (6, 'on'), (7, 'Huang'), (8, 'Daiqiang'), (9, ','), (10, 'Zhao'), (11, 'Liming'), (12, 'and'), (13, 'Chen'), (14, 'Tao'), (15, ','), (16, 'the'), (17, 'three'), (18, 'former'), (19, 'Chongqing'), (20, 'police'), (21, 'officers'), (22, ','), (23, 'in'), (24, 'the'), (25, 'same'), (26, 'trial'), (27, '.')]",13,14,19,19,,,,,
NYT_ENG_20100730.0113,098f60af8f4a9a19a118,"She moved to Sao Paulo, where the baby, a boy, was born in February.","[(0, 'She'), (1, 'moved'), (2, 'to'), (3, 'Sao'), (4, 'Paulo'), (5, ','), (6, 'where'), (7, 'the'), (8, 'baby'), (9, ','), (10, 'a'), (11, 'boy'), (12, ','), (13, 'was'), (14, 'born'), (15, 'in'), (16, 'February'), (17, '.')]",0,0,3,4,,,,,
APW_ENG_20090806.0766,098f60af8f916da8e489,"In one, he tours his suburban Pittsburgh home, starting outside and moving inside the two-bedroom, brick house.","[(0, 'In'), (1, 'one'), (2, ','), (3, 'he'), (4, 'tours'), (5, 'his'), (6, 'suburban'), (7, 'Pittsburgh'), (8, 'home'), (9, ','), (10, 'starting'), (11, 'outside'), (12, 'and'), (13, 'moving'), (14, 'inside'), (15, 'the'), (16, 'two-bedroom'), (17, ','), (18, 'brick'), (19, 'house'), (20, '.')]",5,5,7,7,,,,,
NYT_ENG_20100730.0113,098f60af8f7884073e50,"Then in May, Samudio went back to Rio to find Souza, presumably, the police said, to prove to him the baby was his.","[(0, 'Then'), (1, 'in'), (2, 'May'), (3, ','), (4, 'Samudio'), (5, 'went'), (6, 'back'), (7, 'to'), (8, 'Rio'), (9, 'to'), (10, 'find'), (11, 'Souza'), (12, ','), (13, 'presumably'), (14, ','), (15, 'the'), (16, 'police'), (17, 'said'), (18, ','), (19, 'to'), (20, 'prove'), (21, 'to'), (22, 'him'), (23, 'the'), (24, 'baby'), (25, 'was'), (26, 'his'), (27, '.')]",26,26,8,8,,,,,
eng-NG-31-100841-10920936,098f60af8f9803f4ea83,"Tamaihia, who was placed in Walker's south Sacramento home last month, died on Monday.","[(0, 'Tamaihia'), (1, ','), (2, 'who'), (3, 'was'), (4, 'placed'), (5, 'in'), (6, 'Walker'), (7, ""'s""), (8, 'south'), (9, 'Sacramento'), (10, 'home'), (11, 'last'), (12, 'month'), (13, ','), (14, 'died'), (15, 'on'), (16, 'Monday'), (17, '.')]",0,0,9,9,,,,,
AFP_ENG_20090613.0324,098f60af8f5229b2be9b,"The lurid headlines in Britain and Knox's hometown of Seattle, Washington, sparked fears that she would not have a fair trial.","[(0, 'The'), (1, 'lurid'), (2, 'headlines'), (3, 'in'), (4, 'Britain'), (5, 'and'), (6, 'Knox'), (7, ""'s""), (8, 'hometown'), (9, 'of'), (10, 'Seattle'), (11, ','), (12, 'Washington'), (13, ','), (14, 'sparked'), (15, 'fears'), (16, 'that'), (17, 'she'), (18, 'would'), (19, 'not'), (20, 'have'), (21, 'a'), (22, 'fair'), (23, 'trial'), (24, '.')]",6,6,10,10,,,,,
APW_ENG_20101025.0702,098f60af8ffca5c14e42,Judy Gross' husband Alan Gross was arrested at the Havana airport in December 2009.,"[(0, 'Judy'), (1, 'Gross'), (2, ""'""), (3, 'husband'), (4, 'Alan'), (5, 'Gross'), (6, 'was'), (7, 'arrested'), (8, 'at'), (9, 'the'), (10, 'Havana'), (11, 'airport'), (12, 'in'), (13, 'December'), (14, '2009'), (15, '.')]",4,5,10,10,,,,,
APW_ENG_20080121.0527.LDC2009T13,098f60af8f8aa751b318,"Sollecito has said he was at his own apartment in Perugia, working at his computer.","[(0, 'Sollecito'), (1, 'has'), (2, 'said'), (3, 'he'), (4, 'was'), (5, 'at'), (6, 'his'), (7, 'own'), (8, 'apartment'), (9, 'in'), (10, 'Perugia'), (11, ','), (12, 'working'), (13, 'at'), (14, 'his'), (15, 'computer'), (16, '.')]",3,3,10,10,,,,,
NYT_ENG_20100513.0142,098f60af8ffb08773231,"Ruben van Assouw , 9, from the city of Tilburg, was returning from a South African safari with his 11-year-old brother and their parents, his grandmother told a Dutch newspaper.","[(0, 'Ruben'), (1, 'van'), (2, 'Assouw'), (3, ','), (4, '9'), (5, ','), (6, 'from'), (7, 'the'), (8, 'city'), (9, 'of'), (10, 'Tilburg'), (11, ','), (12, 'was'), (13, 'returning'), (14, 'from'), (15, 'a'), (16, 'South'), (17, 'African'), (18, 'safari'), (19, 'with'), (20, 'his'), (21, '11-year-old'), (22, 'brother'), (23, 'and'), (24, 'their'), (25, 'parents'), (26, ','), (27, 'his'), (28, 'grandmother'), (29, 'told'), (30, 'a'), (31, 'Dutch'), (32, 'newspaper'), (33, '.')]",0,2,10,10,,,,,
APW_ENG_20090625.0084,098f60af8f10b87c5b27,"""I was scared ,"" Paris resident Esther-Ethy Mamane , 26, said Wednesday at a news conference.","[(0, '``'), (1, 'I'), (2, 'was'), (3, 'scared'), (4, ','), (5, ""''""), (6, 'Paris'), (7, 'resident'), (8, 'Esther-Ethy'), (9, 'Mamane'), (10, ','), (11, '26'), (12, ','), (13, 'said'), (14, 'Wednesday'), (15, 'at'), (16, 'a'), (17, 'news'), (18, 'conference'), (19, '.')]",8,9,6,6,,,,,
XIN_ENG_20090712.0038,098f60af8f639e039847,"Italian Red Cross worker Eugenio Vagni was freed in the southern Philippine province of Sulu early Sunday, almost three months after he and his two colleagues were abducted by local militants, the military said.","[(0, 'Italian'), (1, 'Red'), (2, 'Cross'), (3, 'worker'), (4, 'Eugenio'), (5, 'Vagni'), (6, 'was'), (7, 'freed'), (8, 'in'), (9, 'the'), (10, 'southern'), (11, 'Philippine'), (12, 'province'), (13, 'of'), (14, 'Sulu'), (15, 'early'), (16, 'Sunday'), (17, ','), (18, 'almost'), (19, 'three'), (20, 'months'), (21, 'after'), (22, 'he'), (23, 'and'), (24, 'his'), (25, 'two'), (26, 'colleagues'), (27, 'were'), (28, 'abducted'), (29, 'by'), (30, 'local'), (31, 'militants'), (32, ','), (33, 'the'), (34, 'military'), (35, 'said'), (36, '.')]",24,24,14,14,,,,,
NYT_ENG_20100224.0092,098f60af8f38a0a2da6c,"Raised in Queens, he moved to Connecticut in his late 20s after eight years working in Manhattan as an apprentice at a printer and as a store detective in Times Square - a job he said he hated.","[(0, 'Raised'), (1, 'in'), (2, 'Queens'), (3, ','), (4, 'he'), (5, 'moved'), (6, 'to'), (7, 'Connecticut'), (8, 'in'), (9, 'his'), (10, 'late'), (11, '20s'), (12, 'after'), (13, 'eight'), (14, 'years'), (15, 'working'), (16, 'in'), (17, 'Manhattan'), (18, 'as'), (19, 'an'), (20, 'apprentice'), (21, 'at'), (22, 'a'), (23, 'printer'), (24, 'and'), (25, 'as'), (26, 'a'), (27, 'store'), (28, 'detective'), (29, 'in'), (30, 'Times'), (31, 'Square'), (32, '--'), (33, 'a'), (34, 'job'), (35, 'he'), (36, 'said'), (37, 'he'), (38, 'hated'), (39, '.')]",4,4,2,2,,,,,
APW_ENG_20100131.0583,098f60af8f40e18845f3,"Silsby , 40, of Boise, Idaho, was asked if she didn't consider it naive to cross the border without adoption papers at a time when Haitians are so concerned about child trafficking.","[(0, 'Silsby'), (1, ','), (2, '40'), (3, ','), (4, 'of'), (5, 'Boise'), (6, ','), (7, 'Idaho'), (8, ','), (9, 'was'), (10, 'asked'), (11, 'if'), (12, 'she'), (13, 'did'), (14, ""n't""), (15, 'consider'), (16, 'it'), (17, 'naive'), (18, 'to'), (19, 'cross'), (20, 'the'), (21, 'border'), (22, 'without'), (23, 'adoption'), (24, 'papers'), (25, 'at'), (26, 'a'), (27, 'time'), (28, 'when'), (29, 'Haitians'), (30, 'are'), (31, 'so'), (32, 'concerned'), (33, 'about'), (34, 'child'), (35, 'trafficking'), (36, '.')]",12,12,5,5,,,,,
AFP_ENG_20090726.0134,098f60af8fe1547f550e,"He was arrested at his home in Karak, a remote town around 100 kilometres (60 miles) south of Peshawar, the capital of Northwest Frontier Province.","[(0, 'He'), (1, 'was'), (2, 'arrested'), (3, 'at'), (4, 'his'), (5, 'home'), (6, 'in'), (7, 'Karak'), (8, ','), (9, 'a'), (10, 'remote'), (11, 'town'), (12, 'around'), (13, '100'), (14, 'kilometres'), (15, '-LRB-'), (16, '60'), (17, 'miles'), (18, '-RRB-'), (19, 'south'), (20, 'of'), (21, 'Peshawar'), (22, ','), (23, 'the'), (24, 'capital'), (25, 'of'), (26, 'Northwest'), (27, 'Frontier'), (28, 'Province'), (29, '.')]",4,4,7,7,,,,,
APW_ENG_20100202.0241,098f60af8f9baac679d8,"Wen was detained in August and accused of protecting the gang operations masterminded by his sister-in-law, Xie Caiping , 46, known as the ""godmother"" of the Chongqing underworld.","[(0, 'Wen'), (1, 'was'), (2, 'detained'), (3, 'in'), (4, 'August'), (5, 'and'), (6, 'accused'), (7, 'of'), (8, 'protecting'), (9, 'the'), (10, 'gang'), (11, 'operations'), (12, 'masterminded'), (13, 'by'), (14, 'his'), (15, 'sister-in-law'), (16, ','), (17, 'Xie'), (18, 'Caiping'), (19, ','), (20, '46'), (21, ','), (22, 'known'), (23, 'as'), (24, 'the'), (25, '``'), (26, 'godmother'), (27, ""''""), (28, 'of'), (29, 'the'), (30, 'Chongqing'), (31, 'underworld'), (32, '.')]",17,18,30,30,,,,,
