,per:title,org:top_members/employees,org:country_of_headquarters,per:parents,per:age,per:countries_of_residence,per:children,org:alternate_names,per:charges,per:cities_of_residence,per:origin,org:founded_by,per:employee_of,per:siblings,per:alternate_names,org:website,per:religion,per:stateorprovince_of_death,org:parents,org:subsidiaries,per:other_family,per:stateorprovinces_of_residence,org:members,per:cause_of_death,org:member_of,org:number_of_employees/members,per:country_of_birth,org:shareholders,org:stateorprovince_of_headquarters,per:city_of_death,per:date_of_birth,per:spouse,org:city_of_headquarters,per:date_of_death,per:schools_attended,org:political/religious_affiliation,per:country_of_death,org:founded,per:stateorprovince_of_birth,per:city_of_birth,org:dissolved
per:origin,0.050955414012738856,0.02586206896551724,0.05747126436781609,0.04,0.13953488372093023,0.08695652173913043,0.0,0.05454545454545454,0.012048192771084338,0.08396946564885496,1.0,0.0,0.05128205128205128,0.06060606060606061,0.1,0.1111111111111111,0.15384615384615385,0.0,0.10204081632653061,0.0625,0.05,0.09090909090909091,0.08,0.10256410256410256,0.1111111111111111,0.07692307692307693,0.4,0.08333333333333333,0.13513513513513514,0.0,0.14285714285714285,0.045454545454545456,0.12244897959183673,0.04878048780487805,0.05,0.42857142857142855,0.1111111111111111,0.10526315789473684,0.0,0.3333333333333333,0.0
org:founded_by,0.006369426751592357,0.07758620689655173,0.022988505747126436,0.0,0.0,0.0,0.038461538461538464,0.01818181818181818,0.0,0.0,0.0,1.0,0.01282051282051282,0.09090909090909091,0.0,0.05555555555555555,0.0,0.0,0.061224489795918366,0.0625,0.075,0.0,0.08,0.0,0.05555555555555555,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
per:employee_of,0.11464968152866242,0.0603448275862069,0.05747126436781609,0.04,0.06976744186046512,0.09565217391304348,0.0,0.09090909090909091,0.060240963855421686,0.04580152671755725,0.11594202898550725,0.07692307692307693,1.0,0.12121212121212122,0.2,0.2222222222222222,0.07692307692307693,0.0,0.14285714285714285,0.25,0.1,0.045454545454545456,0.12,0.15384615384615385,0.1111111111111111,0.07692307692307693,0.2,0.0,0.13513513513513514,0.041666666666666664,0.0,0.11363636363636363,0.08163265306122448,0.04878048780487805,0.2,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0
per:siblings,0.01910828025477707,0.04310344827586207,0.05747126436781609,0.2,0.023255813953488372,0.034782608695652174,0.11538461538461539,0.03636363636363636,0.024096385542168676,0.015267175572519083,0.028985507246376812,0.11538461538461539,0.02564102564102564,1.0,0.0,0.1111111111111111,0.02564102564102564,0.0,0.02040816326530612,0.125,0.15,0.030303030303030304,0.04,0.10256410256410256,0.16666666666666666,0.0,0.2,0.0,0.05405405405405406,0.0,0.0,0.06818181818181818,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per:alternate_names,0.006369426751592357,0.008620689655172414,0.0,0.0,0.023255813953488372,0.0,0.0,0.01818181818181818,0.0,0.0,0.014492753623188406,0.0,0.01282051282051282,0.0,1.0,0.05555555555555555,0.02564102564102564,0.0,0.02040816326530612,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org:website,0.025477707006369428,0.04310344827586207,0.011494252873563218,0.02,0.046511627906976744,0.008695652173913044,0.038461538461538464,0.05454545454545454,0.0,0.007633587786259542,0.028985507246376812,0.038461538461538464,0.02564102564102564,0.06060606060606061,0.1,1.0,0.05128205128205128,0.0,0.04081632653061224,0.0,0.025,0.015151515151515152,0.04,0.05128205128205128,0.05555555555555555,0.0,0.2,0.0,0.05405405405405406,0.0,0.0,0.022727272727272728,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per:religion,0.03184713375796178,0.02586206896551724,0.0,0.04,0.06976744186046512,0.017391304347826087,0.038461538461538464,0.05454545454545454,0.03614457831325301,0.015267175572519083,0.08695652173913043,0.0,0.019230769230769232,0.030303030303030304,0.1,0.1111111111111111,1.0,0.0,0.02040816326530612,0.03125,0.025,0.0,0.04,0.05128205128205128,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.022727272727272728,0.02040816326530612,0.0,0.05,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
per:stateorprovince_of_death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org:parents,0.025477707006369428,0.034482758620689655,0.034482758620689655,0.02,0.023255813953488372,0.017391304347826087,0.0,0.05454545454545454,0.024096385542168676,0.015267175572519083,0.07246376811594203,0.11538461538461539,0.04487179487179487,0.030303030303030304,0.1,0.1111111111111111,0.02564102564102564,0.0,1.0,0.125,0.075,0.015151515151515152,0.08,0.02564102564102564,0.16666666666666666,0.0,0.2,0.16666666666666666,0.05405405405405406,0.0,0.0,0.06818181818181818,0.04081632653061224,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0
org:subsidiaries,0.01910828025477707,0.0603448275862069,0.011494252873563218,0.08,0.0,0.02608695652173913,0.038461538461538464,0.03636363636363636,0.03614457831325301,0.007633587786259542,0.028985507246376812,0.07692307692307693,0.05128205128205128,0.12121212121212122,0.0,0.0,0.02564102564102564,0.0,0.08163265306122448,1.0,0.125,0.0,0.04,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
per:other_family,0.025477707006369428,0.05172413793103448,0.022988505747126436,0.14,0.0,0.008695652173913044,0.11538461538461539,0.03636363636363636,0.012048192771084338,0.007633587786259542,0.028985507246376812,0.11538461538461539,0.02564102564102564,0.18181818181818182,0.0,0.05555555555555555,0.02564102564102564,0.0,0.061224489795918366,0.15625,1.0,0.0,0.08,0.05128205128205128,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
per:stateorprovinces_of_residence,0.012738853503184714,0.017241379310344827,0.04597701149425287,0.0,0.0,0.06956521739130435,0.0,0.03636363636363636,0.012048192771084338,0.13740458015267176,0.08695652173913043,0.0,0.019230769230769232,0.06060606060606061,0.0,0.05555555555555555,0.0,0.0,0.02040816326530612,0.0,0.0,1.0,0.0,0.05128205128205128,0.05555555555555555,0.0,0.6,0.0,0.13513513513513514,0.041666666666666664,0.2857142857142857,0.0,0.12244897959183673,0.04878048780487805,0.05,0.0,0.1111111111111111,0.10526315789473684,0.3333333333333333,0.3333333333333333,0.0
org:members,0.025477707006369428,0.034482758620689655,0.011494252873563218,0.04,0.023255813953488372,0.017391304347826087,0.038461538461538464,0.05454545454545454,0.012048192771084338,0.007633587786259542,0.028985507246376812,0.07692307692307693,0.019230769230769232,0.030303030303030304,0.1,0.05555555555555555,0.02564102564102564,0.0,0.04081632653061224,0.03125,0.05,0.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.08333333333333333,0.02702702702702703,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per:cause_of_death,0.025477707006369428,0.02586206896551724,0.011494252873563218,0.06,0.023255813953488372,0.034782608695652174,0.0,0.0,0.024096385542168676,0.022900763358778626,0.057971014492753624,0.0,0.038461538461538464,0.12121212121212122,0.0,0.1111111111111111,0.05128205128205128,0.0,0.02040816326530612,0.09375,0.05,0.030303030303030304,0.04,1.0,0.05555555555555555,0.07692307692307693,0.2,0.0,0.08108108108108109,0.041666666666666664,0.14285714285714285,0.022727272727272728,0.04081632653061224,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
org:member_of,0.025477707006369428,0.017241379310344827,0.034482758620689655,0.02,0.0,0.008695652173913044,0.0,0.0,0.0,0.015267175572519083,0.028985507246376812,0.038461538461538464,0.01282051282051282,0.09090909090909091,0.0,0.05555555555555555,0.0,0.0,0.061224489795918366,0.0625,0.025,0.015151515151515152,0.0,0.02564102564102564,1.0,0.0,0.2,0.0,0.02702702702702703,0.0,0.0,0.045454545454545456,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
org:number_of_employees/members,0.006369426751592357,0.0,0.0,0.0,0.023255813953488372,0.008695652173913044,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,1.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per:country_of_birth,0.006369426751592357,0.008620689655172414,0.022988505747126436,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.022900763358778626,0.028985507246376812,0.0,0.00641025641025641,0.030303030303030304,0.0,0.05555555555555555,0.0,0.0,0.02040816326530612,0.0,0.0,0.045454545454545456,0.0,0.02564102564102564,0.05555555555555555,0.0,1.0,0.0,0.05405405405405406,0.0,0.14285714285714285,0.0,0.061224489795918366,0.024390243902439025,0.0,0.0,0.1111111111111111,0.05263157894736842,0.0,0.0,0.0
org:shareholders,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org:stateorprovince_of_headquarters,0.01910828025477707,0.017241379310344827,0.04597701149425287,0.0,0.046511627906976744,0.05217391304347826,0.0,0.03636363636363636,0.0,0.030534351145038167,0.07246376811594203,0.0,0.03205128205128205,0.06060606060606061,0.1,0.1111111111111111,0.02564102564102564,0.0,0.04081632653061224,0.0,0.0,0.07575757575757576,0.04,0.07692307692307693,0.05555555555555555,0.07692307692307693,0.4,0.0,1.0,0.0,0.0,0.0,0.12244897959183673,0.024390243902439025,0.05,0.0,0.0,0.10526315789473684,0.0,0.0,0.0
per:city_of_death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.02040816326530612,0.04878048780487805,0.0,0.0,0.0,0.05263157894736842,0.16666666666666666,0.3333333333333333,0.0
per:date_of_birth,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.015267175572519083,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.02564102564102564,0.0,0.0,0.2,0.0,0.0,0.041666666666666664,1.0,0.0,0.04081632653061224,0.0975609756097561,0.0,0.0,0.1111111111111111,0.10526315789473684,0.16666666666666666,0.3333333333333333,0.0
per:spouse,0.025477707006369428,0.04310344827586207,0.034482758620689655,0.12,0.0,0.017391304347826087,0.15384615384615385,0.03636363636363636,0.012048192771084338,0.007633587786259542,0.028985507246376812,0.0,0.03205128205128205,0.09090909090909091,0.0,0.05555555555555555,0.02564102564102564,0.0,0.061224489795918366,0.09375,0.125,0.0,0.0,0.02564102564102564,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
org:city_of_headquarters,0.03821656050955414,0.02586206896551724,0.04597701149425287,0.02,0.023255813953488372,0.09565217391304348,0.0,0.03636363636363636,0.012048192771084338,0.0916030534351145,0.08695652173913043,0.0,0.02564102564102564,0.030303030303030304,0.1,0.16666666666666666,0.02564102564102564,0.0,0.04081632653061224,0.0,0.025,0.09090909090909091,0.08,0.05128205128205128,0.1111111111111111,0.0,0.6,0.0,0.16216216216216217,0.041666666666666664,0.2857142857142857,0.0,1.0,0.0975609756097561,0.1,0.0,0.1111111111111111,0.3684210526315789,0.16666666666666666,0.3333333333333333,0.0
per:date_of_death,0.01910828025477707,0.008620689655172414,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.030534351145038167,0.028985507246376812,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.2,0.0,0.02702702702702703,0.08333333333333333,0.5714285714285714,0.0,0.08163265306122448,1.0,0.0,0.0,0.1111111111111111,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.5
per:schools_attended,0.0,0.008620689655172414,0.011494252873563218,0.0,0.0,0.017391304347826087,0.0,0.01818181818181818,0.012048192771084338,0.030534351145038167,0.014492753623188406,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.03125,0.0,0.015151515151515152,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.04081632653061224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
org:political/religious_affiliation,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
per:country_of_death,0.0,0.008620689655172414,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.007633587786259542,0.014492753623188406,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.14285714285714285,0.0,0.02040816326530612,0.024390243902439025,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0
org:founded,0.0,0.0,0.011494252873563218,0.0,0.023255813953488372,0.02608695652173913,0.0,0.0,0.0,0.030534351145038167,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.2,0.0,0.05405405405405406,0.041666666666666664,0.2857142857142857,0.0,0.14285714285714285,0.0975609756097561,0.0,0.0,0.1111111111111111,1.0,0.16666666666666666,0.3333333333333333,0.0
per:stateorprovince_of_birth,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.14285714285714285,0.0,0.02040816326530612,0.04878048780487805,0.0,0.0,0.0,0.05263157894736842,1.0,0.6666666666666666,0.0
per:city_of_birth,0.006369426751592357,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.015267175572519083,0.014492753623188406,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.03125,0.025,0.015151515151515152,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.041666666666666664,0.14285714285714285,0.022727272727272728,0.02040816326530612,0.024390243902439025,0.0,0.0,0.0,0.05263157894736842,0.3333333333333333,1.0,0.0
org:dissolved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,1.0
