,per:title,org:top_members/employees,org:country_of_headquarters,per:parents,per:age,per:countries_of_residence,per:children,org:alternate_names,per:charges,per:cities_of_residence,per:origin,org:founded_by,per:employee_of,per:siblings,per:alternate_names,org:website,per:religion,per:stateorprovince_of_death,org:parents,org:subsidiaries,per:other_family,per:stateorprovinces_of_residence,org:members,per:cause_of_death,org:member_of,org:number_of_employees/members,per:country_of_birth,org:shareholders,org:stateorprovince_of_headquarters,per:city_of_death,per:date_of_birth,per:spouse,org:city_of_headquarters,per:date_of_death,per:schools_attended,org:political/religious_affiliation,per:country_of_death,org:founded,per:stateorprovince_of_birth,per:city_of_birth,org:dissolved
per:siblings,0.10335917312661498,0.1037463976945245,0.11160714285714286,0.27710843373493976,0.12931034482758622,0.14356435643564355,0.25806451612903225,0.15343915343915343,0.20408163265306123,0.1836734693877551,0.17054263565891473,0.30158730158730157,0.08040201005025126,1.0,0.2826086956521739,0.09523809523809523,0.24390243902439024,0.25,0.1568627450980392,0.16556291390728478,0.25833333333333336,0.18571428571428572,0.17708333333333334,0.21875,0.21348314606741572,0.17777777777777778,0.3684210526315789,0.1568627450980392,0.18181818181818182,0.23076923076923078,0.1,0.29523809523809524,0.14473684210526316,0.09523809523809523,0.21311475409836064,0.06896551724137931,0.16666666666666666,0.046511627906976744,0.47058823529411764,0.4117647058823529,0.0
per:alternate_names,0.059431524547803614,0.06628242074927954,0.08035714285714286,0.1686746987951807,0.06896551724137931,0.10396039603960396,0.0967741935483871,0.10052910052910052,0.16326530612244897,0.14965986394557823,0.10852713178294573,0.25396825396825395,0.06030150753768844,0.13541666666666666,1.0,0.031746031746031744,0.21951219512195122,0.08333333333333333,0.1111111111111111,0.11258278145695365,0.125,0.10714285714285714,0.08333333333333333,0.109375,0.1348314606741573,0.08888888888888889,0.3684210526315789,0.13725490196078433,0.1111111111111111,0.23076923076923078,0.1,0.1619047619047619,0.11842105263157894,0.06349206349206349,0.13114754098360656,0.017241379310344827,0.16666666666666666,0.0,0.29411764705882354,0.23529411764705882,0.06666666666666667
org:website,0.031007751937984496,0.043227665706051875,0.049107142857142856,0.08433734939759036,0.05172413793103448,0.04455445544554455,0.04838709677419355,0.06349206349206349,0.02040816326530612,0.061224489795918366,0.05426356589147287,0.14285714285714285,0.03015075376884422,0.0625,0.043478260869565216,1.0,0.024390243902439025,0.041666666666666664,0.0784313725490196,0.06622516556291391,0.08333333333333333,0.04285714285714286,0.125,0.0625,0.06741573033707865,0.08888888888888889,0.0,0.09803921568627451,0.0707070707070707,0.07692307692307693,0.0,0.09523809523809523,0.05921052631578947,0.06349206349206349,0.04918032786885246,0.08620689655172414,0.0,0.046511627906976744,0.11764705882352941,0.11764705882352941,0.06666666666666667
per:religion,0.059431524547803614,0.04899135446685879,0.08035714285714286,0.10843373493975904,0.15517241379310345,0.0891089108910891,0.07258064516129033,0.10052910052910052,0.14285714285714285,0.1360544217687075,0.17829457364341086,0.14285714285714285,0.06532663316582915,0.10416666666666667,0.1956521739130435,0.015873015873015872,1.0,0.2916666666666667,0.08496732026143791,0.07947019867549669,0.09166666666666666,0.1357142857142857,0.052083333333333336,0.140625,0.1348314606741573,0.17777777777777778,0.3684210526315789,0.0392156862745098,0.1111111111111111,0.20512820512820512,0.1,0.11428571428571428,0.09868421052631579,0.047619047619047616,0.18032786885245902,0.13793103448275862,0.3333333333333333,0.0,0.4117647058823529,0.35294117647058826,0.0
per:stateorprovince_of_death,0.031007751937984496,0.01440922190201729,0.044642857142857144,0.04819277108433735,0.10344827586206896,0.04455445544554455,0.03225806451612903,0.031746031746031744,0.12244897959183673,0.07482993197278912,0.06976744186046512,0.047619047619047616,0.032663316582914576,0.0625,0.043478260869565216,0.015873015873015872,0.17073170731707318,1.0,0.058823529411764705,0.046357615894039736,0.05,0.09285714285714286,0.052083333333333336,0.15625,0.10112359550561797,0.15555555555555556,0.15789473684210525,0.0196078431372549,0.08080808080808081,0.1794871794871795,0.0,0.05714285714285714,0.046052631578947366,0.047619047619047616,0.13114754098360656,0.08620689655172414,0.0,0.0,0.23529411764705882,0.17647058823529413,0.0
org:parents,0.13953488372093023,0.14697406340057637,0.20535714285714285,0.30120481927710846,0.21551724137931033,0.18316831683168316,0.20161290322580644,0.2328042328042328,0.20408163265306123,0.24489795918367346,0.24806201550387597,0.4444444444444444,0.16331658291457288,0.25,0.3695652173913043,0.19047619047619047,0.3170731707317073,0.375,1.0,0.2847682119205298,0.25833333333333336,0.24285714285714285,0.28125,0.28125,0.34831460674157305,0.35555555555555557,0.47368421052631576,0.29411764705882354,0.37373737373737376,0.46153846153846156,0.1,0.3619047619047619,0.29605263157894735,0.09523809523809523,0.3114754098360656,0.27586206896551724,0.5,0.023255813953488372,0.4117647058823529,0.4117647058823529,0.0
org:subsidiaries,0.15762273901808785,0.15561959654178675,0.19196428571428573,0.30120481927710846,0.22413793103448276,0.1782178217821782,0.20967741935483872,0.24338624338624337,0.22448979591836735,0.22448979591836735,0.21705426356589147,0.38095238095238093,0.11557788944723618,0.2604166666666667,0.3695652173913043,0.15873015873015872,0.2926829268292683,0.2916666666666667,0.28104575163398693,1.0,0.25,0.21428571428571427,0.3020833333333333,0.21875,0.29213483146067415,0.35555555555555557,0.5263157894736842,0.27450980392156865,0.30303030303030304,0.38461538461538464,0.1,0.3142857142857143,0.26973684210526316,0.1111111111111111,0.26229508196721313,0.2413793103448276,0.5,0.09302325581395349,0.4117647058823529,0.4117647058823529,0.06666666666666667
per:other_family,0.13178294573643412,0.13544668587896252,0.17857142857142858,0.3493975903614458,0.15517241379310345,0.16336633663366337,0.23387096774193547,0.1746031746031746,0.1836734693877551,0.19727891156462585,0.18604651162790697,0.3492063492063492,0.11055276381909548,0.3229166666666667,0.32608695652173914,0.15873015873015872,0.2682926829268293,0.25,0.20261437908496732,0.1986754966887417,1.0,0.18571428571428572,0.22916666666666666,0.203125,0.23595505617977527,0.2222222222222222,0.42105263157894735,0.2549019607843137,0.1919191919191919,0.3333333333333333,0.1,0.3523809523809524,0.17105263157894737,0.12698412698412698,0.2786885245901639,0.10344827586206896,0.3333333333333333,0.06976744186046512,0.5294117647058824,0.47058823529411764,0.06666666666666667
per:stateorprovinces_of_residence,0.16279069767441862,0.10086455331412104,0.16964285714285715,0.27710843373493976,0.27586206896551724,0.24257425742574257,0.1693548387096774,0.19576719576719576,0.22448979591836735,0.3197278911564626,0.3178294573643411,0.2857142857142857,0.17336683417085427,0.2708333333333333,0.32608695652173914,0.09523809523809523,0.4634146341463415,0.5416666666666666,0.2222222222222222,0.1986754966887417,0.21666666666666667,1.0,0.22916666666666666,0.3125,0.30337078651685395,0.3111111111111111,0.42105263157894735,0.1568627450980392,0.2828282828282828,0.38461538461538464,0.1,0.29523809523809524,0.2236842105263158,0.09523809523809523,0.3114754098360656,0.29310344827586204,0.3333333333333333,0.046511627906976744,0.5294117647058824,0.5294117647058824,0.06666666666666667
org:members,0.082687338501292,0.10951008645533142,0.12946428571428573,0.20481927710843373,0.1206896551724138,0.1188118811881188,0.14516129032258066,0.15873015873015872,0.14285714285714285,0.16326530612244897,0.11627906976744186,0.25396825396825395,0.07537688442211055,0.17708333333333334,0.17391304347826086,0.19047619047619047,0.12195121951219512,0.20833333333333334,0.17647058823529413,0.19205298013245034,0.18333333333333332,0.15714285714285714,1.0,0.125,0.19101123595505617,0.26666666666666666,0.21052631578947367,0.19607843137254902,0.2222222222222222,0.28205128205128205,0.0,0.22857142857142856,0.14473684210526316,0.06349206349206349,0.18032786885245902,0.15517241379310345,0.16666666666666666,0.06976744186046512,0.29411764705882354,0.17647058823529413,0.0
per:cause_of_death,0.07751937984496124,0.04899135446685879,0.09375,0.12048192771084337,0.19827586206896552,0.10891089108910891,0.0967741935483871,0.07936507936507936,0.22448979591836735,0.17687074829931973,0.13178294573643412,0.1746031746031746,0.07537688442211055,0.14583333333333334,0.15217391304347827,0.06349206349206349,0.21951219512195122,0.4166666666666667,0.11764705882352941,0.09271523178807947,0.10833333333333334,0.14285714285714285,0.08333333333333333,1.0,0.1797752808988764,0.2222222222222222,0.15789473684210525,0.058823529411764705,0.16161616161616163,0.20512820512820512,0.1,0.12380952380952381,0.10526315789473684,0.07936507936507936,0.18032786885245902,0.15517241379310345,0.6666666666666666,0.0,0.5294117647058824,0.4117647058823529,0.0
org:member_of,0.09043927648578812,0.09510086455331412,0.125,0.1927710843373494,0.1896551724137931,0.13861386138613863,0.12903225806451613,0.1693121693121693,0.22448979591836735,0.19727891156462585,0.18604651162790697,0.2698412698412698,0.10301507537688442,0.19791666666666666,0.2608695652173913,0.09523809523809523,0.2926829268292683,0.375,0.20261437908496732,0.17218543046357615,0.175,0.19285714285714287,0.17708333333333334,0.25,1.0,0.3111111111111111,0.42105263157894735,0.11764705882352941,0.25252525252525254,0.2564102564102564,0.05,0.20952380952380953,0.18421052631578946,0.07936507936507936,0.19672131147540983,0.1724137931034483,0.16666666666666666,0.0,0.4117647058823529,0.4117647058823529,0.0
org:number_of_employees/members,0.059431524547803614,0.02881844380403458,0.08035714285714286,0.0963855421686747,0.13793103448275862,0.07425742574257425,0.04032258064516129,0.07936507936507936,0.12244897959183673,0.11564625850340136,0.14728682170542637,0.12698412698412698,0.05527638190954774,0.08333333333333333,0.08695652173913043,0.06349206349206349,0.1951219512195122,0.2916666666666667,0.10457516339869281,0.10596026490066225,0.08333333333333333,0.1,0.125,0.15625,0.15730337078651685,1.0,0.2631578947368421,0.0392156862745098,0.13131313131313133,0.20512820512820512,0.0,0.08571428571428572,0.09210526315789473,0.015873015873015872,0.14754098360655737,0.22413793103448276,0.3333333333333333,0.023255813953488372,0.23529411764705882,0.17647058823529413,0.0
per:country_of_birth,0.03617571059431524,0.023054755043227664,0.05357142857142857,0.08433734939759036,0.05172413793103448,0.04455445544554455,0.04838709677419355,0.05291005291005291,0.04081632653061224,0.06802721088435375,0.07751937984496124,0.1111111111111111,0.032663316582914576,0.07291666666666667,0.15217391304347827,0.0,0.17073170731707318,0.125,0.058823529411764705,0.06622516556291391,0.06666666666666667,0.05714285714285714,0.041666666666666664,0.046875,0.0898876404494382,0.1111111111111111,1.0,0.0392156862745098,0.0707070707070707,0.1282051282051282,0.0,0.08571428571428572,0.06578947368421052,0.047619047619047616,0.09836065573770492,0.06896551724137931,0.16666666666666666,0.0,0.29411764705882354,0.11764705882352941,0.0
org:shareholders,0.04909560723514212,0.07204610951008646,0.05803571428571429,0.0963855421686747,0.05172413793103448,0.04950495049504951,0.0967741935483871,0.09523809523809523,0.061224489795918366,0.08163265306122448,0.05426356589147287,0.19047619047619047,0.05527638190954774,0.08333333333333333,0.15217391304347827,0.07936507936507936,0.04878048780487805,0.041666666666666664,0.09803921568627451,0.09271523178807947,0.10833333333333334,0.05714285714285714,0.10416666666666667,0.046875,0.06741573033707865,0.044444444444444446,0.10526315789473684,1.0,0.10101010101010101,0.07692307692307693,0.05,0.13333333333333333,0.08552631578947369,0.047619047619047616,0.08196721311475409,0.034482758620689655,0.0,0.06976744186046512,0.058823529411764705,0.11764705882352941,0.13333333333333333
org:stateorprovince_of_headquarters,0.09560723514211886,0.1037463976945245,0.17410714285714285,0.18072289156626506,0.19827586206896552,0.13366336633663367,0.16129032258064516,0.20105820105820105,0.20408163265306123,0.2108843537414966,0.20155038759689922,0.30158730158730157,0.08793969849246232,0.1875,0.2391304347826087,0.1111111111111111,0.2682926829268293,0.3333333333333333,0.24183006535947713,0.1986754966887417,0.15833333333333333,0.2,0.22916666666666666,0.25,0.2808988764044944,0.28888888888888886,0.3684210526315789,0.19607843137254902,1.0,0.3333333333333333,0.1,0.24761904761904763,0.2631578947368421,0.12698412698412698,0.26229508196721313,0.22413793103448276,0.3333333333333333,0.023255813953488372,0.35294117647058826,0.4117647058823529,0.06666666666666667
per:city_of_death,0.07493540051679587,0.040345821325648415,0.10267857142857142,0.12048192771084337,0.11206896551724138,0.09900990099009901,0.06451612903225806,0.06878306878306878,0.12244897959183673,0.12244897959183673,0.13953488372093023,0.15873015873015872,0.05778894472361809,0.09375,0.1956521739130435,0.047619047619047616,0.1951219512195122,0.2916666666666667,0.11764705882352941,0.09933774834437085,0.10833333333333334,0.10714285714285714,0.11458333333333333,0.125,0.11235955056179775,0.17777777777777778,0.2631578947368421,0.058823529411764705,0.13131313131313133,1.0,0.05,0.13333333333333333,0.11842105263157894,0.031746031746031744,0.19672131147540983,0.08620689655172414,0.16666666666666666,0.0,0.29411764705882354,0.35294117647058826,0.0
per:date_of_birth,0.007751937984496124,0.011527377521613832,0.008928571428571428,0.024096385542168676,0.07758620689655173,0.009900990099009901,0.016129032258064516,0.015873015873015872,0.04081632653061224,0.013605442176870748,0.015503875968992248,0.031746031746031744,0.007537688442211055,0.020833333333333332,0.043478260869565216,0.0,0.04878048780487805,0.0,0.013071895424836602,0.013245033112582781,0.016666666666666666,0.014285714285714285,0.0,0.03125,0.011235955056179775,0.0,0.0,0.0196078431372549,0.020202020202020204,0.02564102564102564,1.0,0.01904761904761905,0.013157894736842105,0.15873015873015872,0.03278688524590164,0.0,0.16666666666666666,0.16279069767441862,0.11764705882352941,0.11764705882352941,0.26666666666666666
per:spouse,0.11627906976744186,0.138328530259366,0.17410714285714285,0.3132530120481928,0.16379310344827586,0.16831683168316833,0.23387096774193547,0.21693121693121692,0.22448979591836735,0.2108843537414966,0.24031007751937986,0.38095238095238093,0.10804020100502512,0.3229166666666667,0.3695652173913043,0.15873015873015872,0.2926829268292683,0.25,0.24836601307189543,0.2185430463576159,0.30833333333333335,0.22142857142857142,0.25,0.203125,0.24719101123595505,0.2,0.47368421052631576,0.27450980392156865,0.26262626262626265,0.358974358974359,0.1,1.0,0.2236842105263158,0.12698412698412698,0.2786885245901639,0.1724137931034483,0.3333333333333333,0.06976744186046512,0.35294117647058826,0.4117647058823529,0.13333333333333333
org:city_of_headquarters,0.14470284237726097,0.14985590778097982,0.21428571428571427,0.24096385542168675,0.1810344827586207,0.1782178217821782,0.20967741935483872,0.2222222222222222,0.20408163265306123,0.2653061224489796,0.24031007751937986,0.3968253968253968,0.11809045226130653,0.22916666666666666,0.391304347826087,0.14285714285714285,0.36585365853658536,0.2916666666666667,0.29411764705882354,0.271523178807947,0.21666666666666667,0.24285714285714285,0.22916666666666666,0.25,0.3146067415730337,0.3111111111111111,0.5263157894736842,0.2549019607843137,0.40404040404040403,0.46153846153846156,0.1,0.3238095238095238,1.0,0.07936507936507936,0.26229508196721313,0.22413793103448276,0.3333333333333333,0.06976744186046512,0.4117647058823529,0.47058823529411764,0.06666666666666667
per:date_of_death,0.03359173126614987,0.023054755043227664,0.044642857142857144,0.04819277108433735,0.12931034482758622,0.034653465346534656,0.056451612903225805,0.042328042328042326,0.061224489795918366,0.07482993197278912,0.046511627906976744,0.1111111111111111,0.020100502512562814,0.0625,0.08695652173913043,0.06349206349206349,0.07317073170731707,0.125,0.0392156862745098,0.046357615894039736,0.06666666666666667,0.04285714285714286,0.041666666666666664,0.078125,0.056179775280898875,0.022222222222222223,0.15789473684210525,0.058823529411764705,0.08080808080808081,0.05128205128205128,0.5,0.0761904761904762,0.03289473684210526,1.0,0.06557377049180328,0.034482758620689655,0.0,0.3023255813953488,0.058823529411764705,0.0,0.4
per:schools_attended,0.08527131782945736,0.04610951008645533,0.09375,0.12048192771084337,0.13793103448275862,0.10396039603960396,0.08870967741935484,0.08465608465608465,0.16326530612244897,0.16326530612244897,0.14728682170542637,0.1746031746031746,0.0829145728643216,0.13541666666666666,0.17391304347826086,0.047619047619047616,0.2682926829268293,0.3333333333333333,0.12418300653594772,0.10596026490066225,0.14166666666666666,0.1357142857142857,0.11458333333333333,0.171875,0.1348314606741573,0.2,0.3157894736842105,0.09803921568627451,0.16161616161616163,0.3076923076923077,0.1,0.1619047619047619,0.10526315789473684,0.06349206349206349,1.0,0.1206896551724138,0.3333333333333333,0.0,0.47058823529411764,0.47058823529411764,0.0
org:political/religious_affiliation,0.056847545219638244,0.04899135446685879,0.08482142857142858,0.07228915662650602,0.1206896551724138,0.06930693069306931,0.03225806451612903,0.09523809523809523,0.061224489795918366,0.10204081632653061,0.15503875968992248,0.1111111111111111,0.05778894472361809,0.041666666666666664,0.021739130434782608,0.07936507936507936,0.1951219512195122,0.20833333333333334,0.10457516339869281,0.09271523178807947,0.05,0.12142857142857143,0.09375,0.140625,0.11235955056179775,0.28888888888888886,0.21052631578947367,0.0392156862745098,0.13131313131313133,0.1282051282051282,0.0,0.09523809523809523,0.08552631578947369,0.031746031746031744,0.11475409836065574,1.0,0.16666666666666666,0.023255813953488372,0.23529411764705882,0.11764705882352941,0.06666666666666667
per:country_of_death,0.0103359173126615,0.008645533141210375,0.013392857142857142,0.024096385542168676,0.02586206896551724,0.019801980198019802,0.016129032258064516,0.010582010582010581,0.04081632653061224,0.034013605442176874,0.023255813953488372,0.031746031746031744,0.01256281407035176,0.010416666666666666,0.021739130434782608,0.0,0.04878048780487805,0.0,0.0196078431372549,0.019867549668874173,0.016666666666666666,0.014285714285714285,0.010416666666666666,0.0625,0.011235955056179775,0.044444444444444446,0.05263157894736842,0.0,0.020202020202020204,0.02564102564102564,0.05,0.01904761904761905,0.013157894736842105,0.0,0.03278688524590164,0.017241379310344827,1.0,0.0,0.058823529411764705,0.11764705882352941,0.0
org:founded,0.0103359173126615,0.008645533141210375,0.013392857142857142,0.012048192771084338,0.07758620689655173,0.009900990099009901,0.016129032258064516,0.015873015873015872,0.02040816326530612,0.027210884353741496,0.015503875968992248,0.031746031746031744,0.005025125628140704,0.020833333333333332,0.0,0.031746031746031744,0.0,0.0,0.006535947712418301,0.026490066225165563,0.025,0.014285714285714285,0.03125,0.0,0.0,0.022222222222222223,0.0,0.058823529411764705,0.010101010101010102,0.0,0.35,0.02857142857142857,0.019736842105263157,0.20634920634920634,0.0,0.017241379310344827,0.0,1.0,0.0,0.0,0.4666666666666667
